         2321360 function calls (2294717 primitive calls) in 0.646 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1746    0.000    0.000    0.001    0.000 generic.py:43(_instancecheck)
       21    0.000    0.000    0.001    0.000 boolean.py:178(coerce_to_array)
      546    0.000    0.000    0.000    0.000 __init__.py:455(_format)
        1    0.000    0.000    0.108    0.108 _core.py:412(_add_edges)
     1014    0.000    0.000    0.000    0.000 digraph.py:41(__set__)
      770    0.000    0.000    0.000    0.000 base.py:243(construct_from_string)
      524    0.000    0.000    0.000    0.000 <frozen posixpath>:169(basename)
      523    0.000    0.000    0.004    0.000 __init__.py:1645(makeRecord)
        1    0.000    0.000    0.648    0.648 profile_knowledge_graphs.py:389(build_profiled_knowledge_graph)
     1214    0.000    0.000    0.000    0.000 reader.py:94(prefix)
      523    0.000    0.000    0.006    0.000 __init__.py:1686(handle)
      523    0.000    0.000    0.000    0.000 {built-in method time.strftime}
       28    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
      818    0.000    0.000    0.001    0.000 scanner.py:135(get_token)
     1000    0.000    0.000    0.001    0.000 adapter_omnipath_networks.py:447(_generate_source_id)
       36    0.000    0.000    0.014    0.000 array.py:158(run_checks_and_handle_errors)
     1746    0.000    0.000    0.000    0.000 generic.py:38(_check)
     3000    0.000    0.000    0.000    0.000 _create.py:211(get_id)
     1024    0.000    0.000    0.000    0.000 enum.py:726(__call__)
       64    0.000    0.000    0.002    0.000 series.py:369(__init__)
     2002    0.000    0.000    0.000    0.000 _neo4j.py:83(<genexpr>)
        2    0.000    0.000    0.000    0.000 {built-in method builtins.eval}
     1000    0.000    0.000    0.001    0.000 adapter_omnipath_networks.py:454(_generate_target_id)
      881    0.000    0.000    0.001    0.000 <frozen _collections_abc>:892(__iter__)
      523    0.000    0.000    0.000    0.000 <frozen genericpath>:133(_splitext)
      940    0.000    0.000    0.000    0.000 notation3.py:1216(checkDot)
      798    0.000    0.000    0.000    0.000 scanner.py:1416(scan_line_break)
      523    0.000    0.000    0.001    0.000 <frozen posixpath>:117(splitext)
     1969    0.000    0.000    0.000    0.000 {method 'start' of 're.Match' objects}
       36    0.000    0.000    0.011    0.000 array.py:399(check_dtype)
     1012    0.000    0.000    0.000    0.000 digraph.py:340(__new__)
     1574    0.000    0.000    0.000    0.000 <frozen posixpath>:52(normcase)
     1014    0.000    0.000    0.000    0.000 digraph.py:78(__set__)
     1092    0.000    0.000    0.000    0.000 __init__.py:968(acquire)
      550    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
     2180    0.000    0.000    0.000    0.000 term.py:2077(_py2literal)
      386    0.000    0.000    0.005    0.000 scanner.py:668(fetch_plain)
      323    0.000    0.000    0.001    0.000 {built-in method builtins.all}
      215    0.000    0.000    0.006    0.000 parser.py:427(parse_block_mapping_key)
      717    0.000    0.000    0.000    0.000 reportviews.py:798(__iter__)
     1434    0.000    0.000    0.000    0.000 reportviews.py:779(<lambda>)
      401    0.000    0.000    0.000    0.000 resolver.py:143(resolve)
     1000    0.000    0.000    0.000    0.000 adapter_omnipath_networks.py:434(_generate_id)
     1580    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
      303    0.000    0.000    0.003    0.000 config.py:127(_get_single_key)
       74    0.000    0.000    0.002    0.000 indexing.py:1058(_getitem_lowerdim)
      401    0.000    0.000    0.000    0.000 constructor.py:67(construct_object)
      717    0.000    0.000    0.000    0.000 reportviews.py:881(__iter__)
     1000    0.000    0.000    0.000    0.000 adapter_omnipath_networks.py:388(get_id)
      285    0.000    0.000    0.000    0.000 base.py:5334(__contains__)
        2    0.000    0.000    0.000    0.000 __init__.py:355(namedtuple)
     1092    0.000    0.000    0.000    0.000 __init__.py:975(release)
      386    0.000    0.000    0.000    0.000 scanner.py:295(save_possible_simple_key)
      205    0.000    0.000    0.002    0.000 frame.py:4956(_box_col_values)
      200    0.000    0.000    0.006    0.000 parser.py:446(parse_block_mapping_value)
       95    0.000    0.000    0.002    0.000 frame.py:4337(__getitem__)
       45    0.000    0.000    0.000    0.000 {built-in method zlib.crc32}
     1003    0.000    0.000    0.000    0.000 graph.py:455(__iter__)
      609    0.000    0.000    0.000    0.000 coreviews.py:354(new_node_ok)
     15/1    0.000    0.000    0.014    0.014 composer.py:117(compose_mapping_node)
       57    0.000    0.000    0.000    0.000 {method 'astype' of 'numpy.ndarray' objects}
     1000    0.000    0.000    0.000    0.000 adapter_omnipath_networks.py:441(_generate_label)
     3237    0.000    0.000    0.000    0.000 _create.py:105(get_label)
      224    0.000    0.000    0.000    0.000 _dtype.py:342(_name_get)
       27    0.000    0.000    0.000    0.000 string_.py:755(_from_sequence)
      552    0.000    0.000    0.000    0.000 {method 'write' of '_io.TextIOWrapper' objects}
     2669    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
     3004    0.000    0.000    0.000    0.000 _create.py:248(get_type)
       99    0.000    0.000    0.002    0.000 __init__.py:754(bind)
        2    0.000    0.000    0.000    0.000 digraph.py:500(add_nodes_from)
     3538    0.000    0.000    0.000    0.000 external_graph_libs.py:25(_identity)
        1    0.000    0.000    0.016    0.016 _ontology.py:261(_change_nodes_to_biocypher_format)
      225    0.000    0.000    0.001    0.000 common.py:1821(pandas_dtype)
      491    0.000    0.000    0.000    0.000 notation3.py:475(here)
      297    0.000    0.000    0.000    0.000 range.py:236(_simple_new)
     1024    0.000    0.000    0.000    0.000 enum.py:1129(__new__)
      523    0.000    0.000    0.000    0.000 {built-in method posix.getpid}
      629    0.000    0.000    0.000    0.000 term.py:458(__new__)
     1014    0.000    0.000    0.000    0.000 graph.py:63(__set__)
     2631    0.000    0.000    0.000    0.000 enum.py:1292(value)
     2000    0.000    0.000    0.000    0.000 _create.py:221(get_source_id)
       28    0.000    0.000    0.001    0.000 managers.py:399(apply)
     2000    0.000    0.000    0.000    0.000 _create.py:230(get_target_id)
     1092    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.RLock' objects}
       71    0.000    0.000    0.001    0.000 engine.py:225(dtype)
      127    0.000    0.000    0.000    0.000 blocks.py:639(copy)
        1    0.000    0.000    0.002    0.002 _ontology.py:345(_find_root_label)
      128    0.000    0.000    0.000    0.000 {method 'reduce' of 'numpy.ufunc' objects}
       36    0.000    0.000    0.015    0.000 array.py:94(validate)
      220    0.000    0.000    0.000    0.000 breadth_first_search.py:19(generic_bfs_edges)
      185    0.000    0.000    0.000    0.000 copy.py:247(_reconstruct)
      184    0.000    0.000    0.014    0.000 validation_depth.py:56(wrapper)
      546    0.000    0.000    0.002    0.000 __init__.py:988(format)
