['data/subset_interactions_edgecases.tsv']
         2366545 function calls (2328730 primitive calls) in 2.216 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     3054    0.001    0.000    0.001    0.000 {built-in method from_bytes}
     1518    0.001    0.000    0.001    0.000 reportviews.py:882(<genexpr>)
      132    0.001    0.000    0.001    0.000 pathlib.py:387(_parse_path)
      509    0.001    0.000    0.003    0.000 _inspect.py:96(getargspec)
     1125    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:1122(find_spec)
     1150    0.001    0.000    0.001    0.000 {built-in method _imp.is_builtin}
     1159    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap>:420(__exit__)
      473    0.001    0.000    0.001    0.000 inspect.py:2729(__init__)
      336    0.001    0.000    0.001    0.000 enum.py:1538(__and__)
     1232    0.001    0.000    0.009    0.000 {method 'extend' of 'list' objects}
     2325    0.001    0.000    0.001    0.000 {method 'remove' of 'list' objects}
       55    0.001    0.000    0.001    0.000 __init__.py:298(__init__)
      491    0.001    0.000    0.001    0.000 notation3.py:462(here)
      129    0.001    0.000    0.001    0.000 <frozen zipimport>:64(__init__)
      556    0.001    0.000    0.005    0.000 typing.py:1123(__init__)
       64    0.001    0.000    0.001    0.000 __init__.py:234(_acquireLock)
     1229    0.001    0.000    0.004    0.000 typing.py:166(_type_convert)
      576    0.001    0.000    0.001    0.000 _parser.py:442(_uniq)
      195    0.001    0.000    0.001    0.000 enum.py:383(__setitem__)
        1    0.001    0.001    0.003    0.003 packages.py:1(<module>)
     2303    0.001    0.000    0.001    0.000 {built-in method _weakref._remove_dead_weakref}
      147    0.001    0.000    0.002    0.000 parser.py:273(parse_node)
     1873    0.001    0.000    0.001    0.000 scanner.py:279(stale_possible_simple_keys)
    25/24    0.001    0.000    0.001    0.000 {built-in method _imp.exec_builtin}
      508    0.001    0.000    0.001    0.000 enum.py:833(__setattr__)
       42    0.001    0.000    0.004    0.000 enum.py:515(__new__)
      240    0.001    0.000    0.004    0.000 typing.py:324(_remove_dups_flatten)
       88    0.001    0.000    0.002    0.000 traceback.py:582(_extract_caret_anchors_from_line_segment)
      855    0.001    0.000    0.001    0.000 enum.py:709(__call__)
       28    0.001    0.000    0.001    0.000 inspect.py:879(cleandoc)
       72    0.001    0.000    0.001    0.000 managers.py:1012(iget)
      168    0.001    0.000    0.038    0.000 _parser.py:962(parse)
     1053    0.001    0.000    0.003    0.000 <frozen _collections_abc>:892(__iter__)
        1    0.001    0.001    0.043    0.043 _ontology.py:261(_change_nodes_to_biocypher_format)
       75    0.001    0.000    0.001    0.000 base.py:836(__iter__)
     1428    0.001    0.000    0.001    0.000 {method 'pop' of 'dict' objects}
      759    0.001    0.000    0.001    0.000 backends.py:903(__doc__)
      129    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1452(_path_hooks)
        5    0.001    0.000    0.023    0.005 core.py:1(<module>)
        1    0.001    0.001    0.001    0.001 tempfile.py:808(SpooledTemporaryFile)
     1969    0.001    0.000    0.001    0.000 {method 'start' of 're.Match' objects}
        1    0.001    0.001    0.001    0.001 c_parser_wrapper.py:222(read)
       22    0.001    0.000    0.022    0.001 __init__.py:1066(handleError)
      940    0.001    0.000    0.001    0.000 notation3.py:1203(checkDot)
      832    0.001    0.000    0.001    0.000 {method 'decode' of 'bytes' objects}
     1208    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:180(_path_isabs)
     2180    0.000    0.000    0.000    0.000 term.py:1910(_py2literal)
    43/32    0.000    0.000    0.003    0.000 inspect.py:2463(_signature_from_callable)
